卷一 李世民
卷二 李治
卷三 李隆基
卷四 李亨
卷五 武則天
卷六 李賢
卷七 鮑君徽
卷八 南唐諸人
卷九 徐氏
卷十 郊廟歌辭
卷十一 郊廟歌辭
卷十二 郊廟歌辭
卷十三 郊廟歌辭
卷十四 郊廟歌辭
卷十五 郊廟歌辭
卷十六 郊廟歌辭
卷十七 樂府雜曲
卷十八 橫吹曲辭
卷十九 相和歌辭
卷二十 相和歌辭
卷二十一 相和歌辭
卷二十二 舞曲歌辭
卷二十三 琴曲歌辭
卷二十四 雜曲歌辭
卷二十五 雜曲歌辭
卷二十六 雜曲歌辭
卷二十七 雜曲歌辭
卷二十八 雜曲歌辭
卷二十九 雜歌謠辭
卷三十 王珪
卷三十一 魏征
卷三十二 褚亮
卷三十三 劉孝孫
卷三十四 楊師道
卷三十五 許敬宗
卷三十六 虞世南
卷三十七 王績
卷三十八 鄭世翼
卷三十九 陳子良
卷四十 上官儀
卷四十一 盧照鄰
卷四十二 盧照鄰
卷四十三 李百藥
卷四十四 劉禕之
卷四十五 陳元光
卷四十六 韋承慶
卷四十七 張九齡
卷四十八 張九齡
卷四十九 張九齡
卷五十 楊炯
卷五十一 宋之問
卷五十二 宋之問
卷五十三 宋之問
卷五十四 崔湜
卷五十五 王勃
卷五十六 王勃
卷五十七 李嶠
卷五十八 李嶠
卷五十九 李嶠
卷六十 李嶠
卷六十一 李嶠
卷六十二 杜審言
卷六十三 董思恭
卷六十四 姚崇
卷六十五 蘇味道
卷六十六 郭震
卷六十七 王無競
卷六十八 崔融
卷六十九 閻朝隱
卷七十 李適
卷七十一 劉憲
卷七十二 高正臣
卷七十三 蘇頲
卷七十四 蘇頲
卷七十五 蔡孚
卷七十六 徐彥伯
卷七十七 駱賓王
卷七十八 駱賓王
卷七十九 駱賓王
卷八十 武三思
卷八十一 喬知之
卷八十二 劉希夷
卷八十三 陳子昂
卷八十四 陳子昂
卷八十五 張說
卷八十六 張說
卷八十七 張說
卷八十八 張說
卷八十九 張說
卷九十 張均
卷九十一 韋嗣立
卷九十二 李乂
卷九十三 盧藏用
卷九十四 吳少微
卷九十五 沈佺期
